编号,整理建议,故事环节,实验用途,已有结果如何理解,下一步,证据质量提醒,协议组,实验族,记录方法,划分,记录seed,LoRA rank,精度类型,本地状态,首记录轮,末记录轮,记录点数,末20轮起点,末20轮终点,末20轮Overall,末20轮Head20,末20轮Middle60,末20轮Tail20,末20轮NonTail80,末20轮Many大于100,末20轮Medium20至100,末20轮Few小于20,最后记录Overall,最后记录Tail,观测Tail峰值,观测峰值轮,观测峰值至最后回落pp,逐类复算状态,缺类逐类文件数,相同曲线副本组,跨seed同曲线组,正常训练,额外训练,损失,聚合,正常steps,额外steps,本地总steps,功能修正steps,原始路径,推荐结果入口,曲线来源
Rda65b19d8,待定用途,设定敏感性,PromptFL/CAPT/zero-shot × specialization λ × seed,不同方法对拓扑响应不同；CAPT采用稀疏聚合/评估，zero-shot只需一次评测。,设定附录候选；不按100轮连续指标强行平均，不直接排序跨协议。,拓扑λ不改变zero-shot测试预测；15份记录不是15次训练。,H4 frac0.2的λ响应（method/seed独立）,expC_lambda_response_frac02,CLIP,client-longtail,3,,,zero-shot单点评测；无需100轮,1,1,1,,,,,,,,,,,64.82,66.0,66.0,1,0.0,逐类核对通过,0,,,,,,,,,,,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.50/seed=3,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.50/seed=3,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.50/seed=3/round_metrics.csv
Rc6232328f,待定用途,设定敏感性,PromptFL/CAPT/zero-shot × specialization λ × seed,不同方法对拓扑响应不同；CAPT采用稀疏聚合/评估，zero-shot只需一次评测。,设定附录候选；不按100轮连续指标强行平均，不直接排序跨协议。,拓扑λ不改变zero-shot测试预测；15份记录不是15次训练。,H4 frac0.2的λ响应（method/seed独立）,expC_lambda_response_frac02,CLIP,client-longtail,1,,,zero-shot单点评测；无需100轮,1,1,1,,,,,,,,,,,64.82,66.0,66.0,1,0.0,逐类核对通过,0,,,,,,,,,,,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.75/seed=1,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.75/seed=1,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.75/seed=1/round_metrics.csv
R4c542c456,待定用途,设定敏感性,PromptFL/CAPT/zero-shot × specialization λ × seed,不同方法对拓扑响应不同；CAPT采用稀疏聚合/评估，zero-shot只需一次评测。,设定附录候选；不按100轮连续指标强行平均，不直接排序跨协议。,拓扑λ不改变zero-shot测试预测；15份记录不是15次训练。,H4 frac0.2的λ响应（method/seed独立）,expC_lambda_response_frac02,CLIP,client-longtail,2,,,zero-shot单点评测；无需100轮,1,1,1,,,,,,,,,,,64.82,66.0,66.0,1,0.0,逐类核对通过,0,,,,,,,,,,,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.75/seed=2,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.75/seed=2,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.75/seed=2/round_metrics.csv
R668ab3b9e,待定用途,设定敏感性,PromptFL/CAPT/zero-shot × specialization λ × seed,不同方法对拓扑响应不同；CAPT采用稀疏聚合/评估，zero-shot只需一次评测。,设定附录候选；不按100轮连续指标强行平均，不直接排序跨协议。,拓扑λ不改变zero-shot测试预测；15份记录不是15次训练。,H4 frac0.2的λ响应（method/seed独立）,expC_lambda_response_frac02,CLIP,client-longtail,3,,,zero-shot单点评测；无需100轮,1,1,1,,,,,,,,,,,64.82,66.0,66.0,1,0.0,逐类核对通过,0,,,,,,,,,,,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.75/seed=3,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.75/seed=3,output/expC_lambda_response_frac02/method=zeroshot/lambda=0.75/seed=3/round_metrics.csv
Rb62611a94,待定用途,设定敏感性,PromptFL/CAPT/zero-shot × specialization λ × seed,不同方法对拓扑响应不同；CAPT采用稀疏聚合/评估，zero-shot只需一次评测。,设定附录候选；不按100轮连续指标强行平均，不直接排序跨协议。,拓扑λ不改变zero-shot测试预测；15份记录不是15次训练。,H4 frac0.2的λ响应（method/seed独立）,expC_lambda_response_frac02,CLIP,client-longtail,1,,,zero-shot单点评测；无需100轮,1,1,1,,,,,,,,,,,64.82,66.0,66.0,1,0.0,逐类核对通过,0,,,,,,,,,,,output/expC_lambda_response_frac02/method=zeroshot/lambda=1.00/seed=1,output/expC_lambda_response_frac02/method=zeroshot/lambda=1.00/seed=1,output/expC_lambda_response_frac02/method=zeroshot/lambda=1.00/seed=1/round_metrics.csv
Rf37810823,待定用途,设定敏感性,PromptFL/CAPT/zero-shot × specialization λ × seed,不同方法对拓扑响应不同；CAPT采用稀疏聚合/评估，zero-shot只需一次评测。,设定附录候选；不按100轮连续指标强行平均，不直接排序跨协议。,拓扑λ不改变zero-shot测试预测；15份记录不是15次训练。,H4 frac0.2的λ响应（method/seed独立）,expC_lambda_response_frac02,CLIP,client-longtail,2,,,zero-shot单点评测；无需100轮,1,1,1,,,,,,,,,,,64.82,66.0,66.0,1,0.0,逐类核对通过,0,,,,,,,,,,,output/expC_lambda_response_frac02/method=zeroshot/lambda=1.00/seed=2,output/expC_lambda_response_frac02/method=zeroshot/lambda=1.00/seed=2,output/expC_lambda_response_frac02/method=zeroshot/lambda=1.00/seed=2/round_metrics.csv
Rf1869a74d,待定用途,设定敏感性,PromptFL/CAPT/zero-shot × specialization λ × seed,不同方法对拓扑响应不同；CAPT采用稀疏聚合/评估，zero-shot只需一次评测。,设定附录候选；不按100轮连续指标强行平均，不直接排序跨协议。,拓扑λ不改变zero-shot测试预测；15份记录不是15次训练。,H4 frac0.2的λ响应（method/seed独立）,expC_lambda_response_frac02,CLIP,client-longtail,3,,,zero-shot单点评测；无需100轮,1,1,1,,,,,,,,,,,64.82,66.0,66.0,1,0.0,逐类核对通过,0,,,,,,,,,,,output/expC_lambda_response_frac02/method=zeroshot/lambda=1.00/seed=3,output/expC_lambda_response_frac02/method=zeroshot/lambda=1.00/seed=3,output/expC_lambda_response_frac02/method=zeroshot/lambda=1.00/seed=3/round_metrics.csv
Re8665a6e9,待定用途,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,附录稳健性候选；不能拼成当前LoRA多seed结果。,拓扑λ不改变zero-shot测试预测；15份记录不是15次训练。；本地未发现标准精度CSV；部分诊断入口按设计在全局测试前结束。,H5 其他历史协议；仅在同配置内比较,expD_dirichlet_vs_clientlt,,,,,,zero-shot单点评测；无需100轮,,,0,,,,,,,,,,,,,,,,缺少可交叉核对的分组或逐类文件,0,,,,,,,,,,,output/expD_dirichlet_vs_clientlt/matched_response/pair=mild/protocol=dirichlet/method=zeroshot/seed=1,output/expD_dirichlet_vs_clientlt/matched_response/pair=mild/protocol=dirichlet/method=zeroshot/seed=1,per_class CSV
Rbc05fd3e2,建议归档,旧 gate 方案,functional CUSP gate,已有两拓扑门槛汇总结论FAIL。,保留失败记录，不继续并入当前A方法。,本地未发现标准精度CSV；部分诊断入口按设计在全局测试前结束。,H5 其他历史协议；仅在同配置内比较,functional_cusp_gate_seed42,,noniid-labeldir-fine,42,,,只有日志或配置，未发现精度结果,,,0,,,,,,,,,,,,,,,,缺少可交叉核对的分组或逐类文件,0,,,,,,,,,,,output/functional_cusp_gate_seed42/dirichlet_beta0.5_seed42_round10,output/functional_cusp_gate_seed42/dirichlet_beta0.5_seed42_round10,per_class CSV
R590418701,建议归档,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/client-longtail,la_control_ablation_analysis,e0,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,67.697,77.44,64.43416666666667,67.74249999999999,67.685625,73.25285714285715,64.14,65.365,67.76,67.55,68.0,83,0.45000000000000284,逐类核对通过,0,Dc27e6b47,,,,,,105600,3168,,,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e0/tau0_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e0/tau0_a1_protocol42,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e0/tau0_a1_protocol42/round_metrics.csv
R5eb636e6a,建议归档,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/client-longtail,la_control_ablation_analysis,e1,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,65.876,83.91999999999999,62.586666666666666,57.7,67.92,77.75571428571428,62.53571428571429,55.913333333333334,65.45,55.65,68.55,31,12.899999999999999,逐类核对通过,0,Deb09b8cc,,,,,,105600,3168,,,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e1/tau0_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e1/tau0_a1_protocol42,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e1/tau0_a1_protocol42/round_metrics.csv
R197b549df,建议归档,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/client-longtail,la_control_ablation_analysis,e2,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,68.101,71.6425,66.40416666666667,69.65,67.71375,69.85714285714286,65.61,68.95833333333334,68.25,69.8,69.85,98,0.04999999999999716,逐类核对通过,0,Dac6d98ec,,,,,,105600,3168,,,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e2/tau1_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e2/tau1_a1_protocol42,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e2/tau1_a1_protocol42/round_metrics.csv
R866d9fb64,建议归档,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/client-longtail,la_control_ablation_analysis,e3,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,69.6455,74.5775,67.465,71.255,69.24312499999999,71.72142857142858,66.87142857142858,70.46000000000001,69.86,71.05,71.4,89,0.3500000000000085,逐类核对通过,0,De8cfcc9d,,,,,,105600,3168,,,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e3/tau1_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e3/tau1_a1_protocol42,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e3/tau1_a1_protocol42/round_metrics.csv
Ra008e5e8b,建议归档,3 适配与保持,功能controller/前瞻旧路线,表现接近E3，但含较高候选/前瞻成本，不是当前主方法。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/client-longtail,la_control_ablation_analysis,e5,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,69.5405,74.37,67.39416666666666,71.15,69.138125,71.6,66.72,70.42833333333333,69.7,71.25,71.25,90,0.0,逐类核对通过,0,D8a8f5b2f,,,,,,105600,3168,,,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42/round_metrics.csv
R9cd8d43f5,建议归档,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/client-longtail,la_control_ablation_analysis,j,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,71.196,78.56,72.38333333333334,60.27,73.9275,76.7642857142857,72.59285714285714,63.07000000000001,71.08,59.55,71.7,22,12.150000000000006,逐类核对通过,0,Dff59f4da,,,,,,105600,3168,,,output/la_control_ablation_analysis/la_control/seed42/client-longtail/j/tau1_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/j/tau1_a1_protocol42,output/la_control_ablation_analysis/la_control/seed42/client-longtail/j/tau1_a1_protocol42/round_metrics.csv
R111fcc616,建议归档,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/client-longtail,la_control_ablation_analysis,s,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,70.91,76.8375,69.68333333333334,68.6625,71.471875,73.96714285714286,70.14714285714285,68.23333333333333,71.06,68.35,71.8,46,3.450000000000003,逐类核对通过,0,D84033cec,,,,,,105600,31680,,,output/la_control_ablation_analysis/la_control/seed42/client-longtail/s/tau1_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/s/tau1_a1_protocol42,output/la_control_ablation_analysis/la_control/seed42/client-longtail/s/tau1_a1_protocol42/round_metrics.csv
Rf4b5cd58f,建议归档,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/matched-dirichlet,la_control_ablation_analysis,e2,matched-dirichlet,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,68.251,71.655,66.47666666666666,70.17,67.77125,69.90714285714286,65.7,69.295,68.39,70.4,70.45,95,0.04999999999999716,逐类核对通过,0,D69c9858c,,,,,,105600,3168,,,output/la_control_ablation_analysis/la_control/seed42/matched-dirichlet/e2/tau1_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/e2/tau1_a1_protocol42,output/la_control_ablation_analysis/la_control/seed42/matched-dirichlet/e2/tau1_a1_protocol42/round_metrics.csv
R35e3dcd53,建议归档,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/matched-dirichlet,la_control_ablation_analysis,e3,matched-dirichlet,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,69.664,74.4575,67.35166666666666,71.8075,69.128125,71.50571428571428,66.91285714285713,70.725,69.78,71.7,71.9,85,0.20000000000000284,逐类核对通过,0,D6429e9db,,,,,,105600,3168,,,output/la_control_ablation_analysis/la_control/seed42/matched-dirichlet/e3/tau1_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/e3/tau1_a1_protocol42,output/la_control_ablation_analysis/la_control/seed42/matched-dirichlet/e3/tau1_a1_protocol42/round_metrics.csv
R3c1e823fb,建议归档,3 适配与保持,功能controller/前瞻旧路线,表现接近E3，但含较高候选/前瞻成本，不是当前主方法。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/matched-dirichlet,la_control_ablation_analysis,e5,matched-dirichlet,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,69.5845,74.25750000000001,67.29666666666667,71.775,69.036875,71.37142857142858,66.84857142857143,70.69166666666666,69.76,71.85,71.85,89,0.0,逐类核对通过,0,D895e6c96,,,,,,105600,3168,,,output/la_control_ablation_analysis/la_control/seed42/matched-dirichlet/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42,output/la_control_ablation_analysis/la_control/seed42/matched-dirichlet/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42/round_metrics.csv
Rec5ad2b59,建议归档,3 适配与保持,早期 LA 结果回传包,已被后续更完整包覆盖；部分目录只有22/34轮。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/client-longtail,la_control_analysis,e2,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,68.101,71.6425,66.40416666666667,69.65,67.71375,69.85714285714286,65.61,68.95833333333334,68.25,69.8,69.85,98,0.04999999999999716,逐类核对通过,0,Dac6d98ec,,,,,,105600,3168,,,output/la_control_analysis/la_control/seed42/client-longtail/e2/tau1_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e2/tau1_a1_protocol42,output/la_control_analysis/la_control/seed42/client-longtail/e2/tau1_a1_protocol42/round_metrics.csv
R6b05b33ef,建议归档,3 适配与保持,早期 LA 结果回传包,已被后续更完整包覆盖；部分目录只有22/34轮。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/client-longtail,la_control_analysis,e3,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,69.6455,74.5775,67.465,71.255,69.24312499999999,71.72142857142858,66.87142857142858,70.46000000000001,69.86,71.05,71.4,89,0.3500000000000085,逐类核对通过,0,De8cfcc9d,,,,,,105600,3168,,,output/la_control_analysis/la_control/seed42/client-longtail/e3/tau1_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e3/tau1_a1_protocol42,output/la_control_analysis/la_control/seed42/client-longtail/e3/tau1_a1_protocol42/round_metrics.csv
R2df98c438,建议归档,3 适配与保持,功能controller/前瞻旧路线,表现接近E3，但含较高候选/前瞻成本，不是当前主方法。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/client-longtail,la_control_analysis,e5,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,69.5405,74.37,67.39416666666666,71.15,69.138125,71.6,66.72,70.42833333333333,69.7,71.25,71.25,90,0.0,逐类核对通过,0,D8a8f5b2f,,,,,,105600,3168,,,output/la_control_analysis/la_control/seed42/client-longtail/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42,output/la_control_analysis/la_control/seed42/client-longtail/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42/round_metrics.csv
R4486c06c3,建议归档,3 适配与保持,早期 LA 结果回传包,已被后续更完整包覆盖；部分目录只有22/34轮。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P4 LA-control/rank4/FP32/matched-dirichlet,la_control_analysis,e2,matched-dirichlet,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,68.251,71.655,66.47666666666666,70.17,67.77125,69.90714285714286,65.7,69.295,68.39,70.4,70.45,95,0.04999999999999716,逐类核对通过,0,D69c9858c,,,,,,105600,3168,,,output/la_control_analysis/la_control/seed42/matched-dirichlet/e2/tau1_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/e2/tau1_a1_protocol42,output/la_control_analysis/la_control/seed42/matched-dirichlet/e2/tau1_a1_protocol42/round_metrics.csv
Ra712886bd,建议归档,3 适配与保持,早期 LA 结果回传包,已被后续更完整包覆盖；部分目录只有22/34轮。,保留引用映射，停止当作新增实验或待补跑任务。,这里的末20轮是15–34，不是81–100，不进入正式主表。,P4 LA-control/rank4/FP32/matched-dirichlet,la_control_analysis,e3,matched-dirichlet,42,4,fp32,短运行或本地结果不完整,0,34,35,15,34,67.1245,70.135,65.58250000000001,68.74,66.720625,68.42285714285714,65.07714285714286,67.99833333333333,67.91,69.65,69.65,34,0.0,逐类核对通过,0,,,,,,,,,,,output/la_control_analysis/la_control/seed42/matched-dirichlet/e3/tau1_a1_protocol42,output/la_control_analysis/la_control/seed42/matched-dirichlet/e3/tau1_a1_protocol42,output/la_control_analysis/la_control/seed42/matched-dirichlet/e3/tau1_a1_protocol42/round_metrics.csv
R28ebacd31,建议归档,3 适配与保持,功能controller/前瞻旧路线,表现接近E3，但含较高候选/前瞻成本，不是当前主方法。,保留旧路线对照；不再优先补E5。,这里的末20轮是3–22，不是81–100，不进入正式主表。,P4 LA-control/rank4/FP32/matched-dirichlet,la_control_analysis,e5,matched-dirichlet,42,4,fp32,短运行或本地结果不完整,0,22,23,3,22,66.00750000000001,68.875,64.52000000000001,67.60249999999999,65.60875,66.94,64.61,66.55,67.0,68.45,68.5,21,0.04999999999999716,逐类核对通过,0,,,,,,,,,,,output/la_control_analysis/la_control/seed42/matched-dirichlet/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42,output/la_control_analysis/la_control/seed42/matched-dirichlet/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42,output/la_control_analysis/la_control/seed42/matched-dirichlet/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42/round_metrics.csv
R72f6ab547,必须保留,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,使用完整结果及逐类指标；E5单独归档；普通和 matched Dir 分栏。,,P4 LA-control/rank4/FP32/noniid-labeldir-fine,la_control_dirichlet_supplement_analysis,e0,noniid-labeldir-fine,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,67.6695,76.97,64.47749999999999,67.94500000000001,67.60062500000001,72.89428571428572,64.18285714285715,65.64166666666668,67.74,67.75,68.1,82,0.3499999999999943,逐类核对通过,0,,,,,,,106200,3186,,,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e0/tau0_a1_protocol42_beta0.5,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e0/tau0_a1_protocol42_beta0.5,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e0/tau0_a1_protocol42_beta0.5/round_metrics.csv
Rdbad269b1,必须保留,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,使用完整结果及逐类指标；E5单独归档；普通和 matched Dir 分栏。,,P4 LA-control/rank4/FP32/noniid-labeldir-fine,la_control_dirichlet_supplement_analysis,e1,noniid-labeldir-fine,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,66.438,83.485,62.589166666666664,60.9375,67.813125,77.41714285714286,62.43571428571429,58.29833333333333,66.16,59.5,68.6,31,9.099999999999994,逐类核对通过,0,,,,,,,106200,3186,,,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e1/tau0_a1_protocol42_beta0.5,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e1/tau0_a1_protocol42_beta0.5,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e1/tau0_a1_protocol42_beta0.5/round_metrics.csv
R4538f3c4b,必须保留,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,使用完整结果及逐类指标；E5单独归档；普通和 matched Dir 分栏。,,P4 LA-control/rank4/FP32/noniid-labeldir-fine,la_control_dirichlet_supplement_analysis,e2,noniid-labeldir-fine,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,68.07050000000001,71.41499999999999,66.37333333333333,69.8175,67.63374999999999,69.78285714285714,65.49857142857142,69.07333333333334,68.29,70.2,70.2,99,0.0,逐类核对通过,0,,,,,,,106200,3186,,,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e2/tau1_a1_protocol42_beta0.5,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e2/tau1_a1_protocol42_beta0.5,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e2/tau1_a1_protocol42_beta0.5/round_metrics.csv
Rabbe357e1,建议归档,3 适配与保持,功能controller/前瞻旧路线,表现接近E3，但含较高候选/前瞻成本，不是当前主方法。,保留旧路线对照；不再优先补E5。,,P4 LA-control/rank4/FP32/noniid-labeldir-fine,la_control_dirichlet_supplement_analysis,e5,noniid-labeldir-fine,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,69.4605,74.22,67.03166666666667,71.9875,68.82875,71.47428571428571,66.24857142857142,70.85833333333333,69.62,72.2,72.2,99,0.0,逐类核对通过,0,,,,,,,106200,3186,,,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42_beta0.5,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42_beta0.5,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42_beta0.5/round_metrics.csv
Rbf2f20b61,必须保留,3 适配与保持,CE/LA × 固定/开放 A；E3/J/S 训练方式对照,LA 下 E3 比固定 A 的 E2 同时提高 Overall/Tail；密集 S 和联合 J 有额外尾类回落。,使用完整结果及逐类指标；E5单独归档；普通和 matched Dir 分栏。,,P4 LA-control/rank4/FP32/client-longtail,la_control_js_topology_analysis,e0,client-longtail,42,4,fp32,完成标记与曲线一致,0,100,101,81,100,67.697,77.44,64.43416666666667,67.74249999999999,67.685625,73.25285714285715,64.14,65.365,67.76,67.55,68.0,83,0.45000000000000284,逐类核对通过,0,Dc27e6b47,,冻结当前A，只更新B；每轮3 epoch,9次额外B，各1 epoch,普通CE，τ=0,按样本量聚合,105600,3168,,,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e0/tau0_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e0/tau0_a1_protocol42,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e0/tau0_a1_protocol42/round_metrics.csv
